booking_id,check_in_date,check_out_date,total_price,status,booking_date,room_id,hotel_id,guest_id
1,2025-04-01,2025-04-05,600.00,confirmed,2025-03-01 12:00:00,1,1,1
2,2025-04-10,2025-04-12,340.00,confirmed,2025-03-01 13:00:00,2,1,2
3,2025-05-05,2025-05-10,700.00,pending,2025-03-02 09:00:00,4,2,3
4,2025-05-15,2025-05-18,450.00,confirmed,2025-03-02 10:00:00,5,2,4
5,2025-06-01,2025-06-05,800.00,confirmed,2025-03-03 11:00:00,7,3,5
6,2025-06-10,2025-06-12,380.00,pending,2025-03-03 12:00:00,8,3,6
7,2025-07-01,2025-07-04,500.00,confirmed,2025-03-04 08:00:00,3,1,7
8,2025-07-10,2025-07-15,750.00,confirmed,2025-03-04 09:00:00,6,2,1
9,2025-08-05,2025-08-10,900.00,pending,2025-03-05 14:00:00,9,3,3
10,2025-08-15,2025-08-20,950.00,confirmed,2025-03-05 15:00:00,10,3,5

